Star ID,NGC,Paper,Author Reference,RAJ2000,DEJ2000,Distance (pc),neg_sigma_dist,pos_sigma_dist,Vmag,Vmag_abs,Bmag,Bmag_abs,Imag,Imag_abs,Kmag,Kmag_abs,Teff,logg,age_Kruijssen,Fe/H,Fe/H_e,Fe/H_o,O/Fe,O/Fe_e,Na/Fe,Na/Fe_e,F275W,F275W_abs,F275W_e,F336W,F336W_abs,F336W_e,F438W,F438W_abs,F438W_e,F606W,F606W_abs,F606W_e,F814W,F814W_abs,F814W_e
R0018794,104,Carretta,26058,6.02807917,-72.07389722,4521,-31,31,12.403,-0.873172535,13.718,0.441827465,,,9.186,-4.090172535,4127.0,1.19,12.52,-0.779,0.107,-0.75,0.409,0.029,0.375,0.085,18.7736,5.497427465,0.0273,15.4416,2.165427465,0.0,13.7323,0.456127465,0.0,12.0009,-1.275272535,0.0,10.982,-2.294172535,0.0
R0025327,104,Carretta,30340,6.01150417,-72.05500833,4521,-31,31,12.395,-0.881172535,13.748,0.471827465,,,8.934,-4.342172535,4046.0,1.11,12.52,-0.714,0.1,-0.75,0.17,0.122,0.488,0.062,,,,15.7321,2.455927465,0.0,13.8185,0.542327465,0.0,12.0301,-1.246072535,0.0,10.9334,-2.342772535,0.0
R0001617,288,Carretta,200001,13.17130833,-26.55743056,8988,-88,89,11.38,-3.388315319,15.213,0.444684681,,,8.589,-6.179315319,3754.0,0.4,11.54,-1.185,0.161,-1.29,-0.004,0.186,0.169,0.061,19.5093,4.740984681,0.0173,16.8509,2.082584681,0.0,,,,12.0358,-2.732515319,0.0,10.6808,-4.087515319,0.0
R0001265,288,Carretta,200014,13.20886667,-26.57066667,8988,-88,89,13.864,-0.904315319,14.996,0.227684681,,,11.095,-3.673315319,4432.0,1.41,11.54,-1.213,0.111,-1.29,0.302,0.027,0.247,0.067,18.6949,3.926584681,0.0215,15.9644,1.196084681,0.0006,15.0652,0.296884681,0.0072,13.5954,-1.172915319,0.0,12.6846,-2.083715319,0.0
R0014452,288,Carretta,200015,13.18829583,-26.58275556,8988,-88,89,13.864,-0.904315319,15.013,0.244684681,,,11.104,-3.664315319,4432.0,1.41,11.54,-1.335,0.21,-1.29,-0.171,,0.571,0.074,23.2479,8.479584681,0.2176,21.7421,6.973784681,0.0027,21.8567,7.088384681,0.0868,20.438,5.669684681,0.0649,19.5103,4.741984681,0.0823
R0000667,288,Carretta,200016,13.17716667,-26.58678333,8988,-88,89,13.883,-0.885315319,14.989,0.220684681,,,11.125,-3.643315319,4438.0,1.42,11.54,-1.317,0.122,-1.29,0.047,,0.564,0.059,18.522,3.753684681,0.0155,16.0096,1.241284681,0.0073,15.0788,0.310484681,0.0029,13.6055,-1.162815319,0.0,12.7164,-2.051915319,0.0
R0000505,288,Carretta,200023,13.21917917,-26.59074722,8988,-88,89,14.065,-0.703315319,15.155,0.386684681,,,11.365,-3.403315319,4487.0,1.52,11.54,-1.266,0.129,-1.29,0.128,0.129,0.521,0.068,18.4185,3.650184681,0.0,,,,,,,13.8062,-0.962115319,0.0,12.9295,-1.838815319,0.0
R0001532,288,Carretta,200028,13.22064583,-26.56178333,8988,-88,89,14.19,-0.578315319,15.276,0.507684681,,,11.558,-3.210315319,4522.0,1.61,11.54,-1.19,0.111,-1.29,-0.352,,0.738,0.022,,,,,,,,,,13.9489,-0.819415319,0.0,13.0931,-1.675215319,0.0
R0000681,288,Carretta,200036,13.2073625,-26.58651667,8988,-88,89,14.461,-0.307315319,15.457,0.688684681,,,11.908,-2.860315319,4596.0,1.76,11.54,-1.253,0.129,-1.29,0.049,,0.669,0.06,18.3557,3.587384681,0.0221,16.1687,1.400384681,0.0049,15.4939,0.725584681,0.0057,14.1916,-0.576715319,0.0,13.355,-1.413315319,0.0
R0001299,288,Carretta,200060,13.15674583,-26.56951111,8988,-88,89,14.993,0.224684681,15.859,1.090684681,,,12.542,-2.226315319,4741.0,2.13,11.54,-1.197,0.147,-1.29,0.184,,0.039,,,,,,,,,,,14.7127,-0.055615319,0.0,13.9362,-0.832115319,0.0
R0006235,288,Carretta,200064,13.21199167,-26.59805833,8988,-88,89,15.029,0.260684681,15.895,1.126684681,,,12.627,-2.141315319,4751.0,2.06,11.54,-1.18,0.13,-1.29,0.066,,0.922,0.158,,,,23.8817,9.113384681,0.0,23.11,8.341684681,0.0,21.297,6.528684681,0.0909,20.5532,5.784884681,0.0942
R0002469,288,Carretta,200091,13.16804167,-26.60902778,8988,-88,89,15.379,0.610684681,16.229,1.460684681,,,13.123,-1.645315319,4846.0,2.25,11.54,-1.236,0.215,-1.29,-0.05,,0.672,0.095,20.102,5.333684681,0.0,19.4462,4.677884681,0.0,19.8505,5.082184681,0.0,19.2043,4.435984681,0.0037,,,
R0018661,288,Carretta,200141,13.2015125,-26.57405278,8988,-88,89,15.731,0.962684681,16.546,1.777684681,,,13.558,-1.210315319,4943.0,2.43,11.54,-1.196,0.143,-1.29,0.059,,0.264,0.159,21.7004,6.932084681,0.0649,20.719,5.950684681,0.0227,21.0286,6.260284681,0.0525,20.2069,5.438584681,0.0165,19.6108,4.842484681,0.0193
R0000061,288,Carretta,200182,13.16789583,-26.60533889,8988,-88,89,15.937,1.168684681,16.74,1.971684681,,,13.778,-0.990315319,4999.0,2.55,11.54,-1.179,0.16,-1.29,0.097,,0.182,,18.6235,3.855184681,0.0032,16.9359,2.167584681,0.0,16.7704,2.002084681,0.0,15.6853,0.916984681,0.0,14.9527,0.184384681,0.0
R0000592,288,Carretta,200199,13.1967875,-26.58870833,8988,-88,89,16.021,1.252684681,16.798,2.029684681,,,13.946,-0.822315319,5022.0,2.61,11.54,-1.233,0.125,-1.29,0.04,,0.198,0.076,18.4649,3.696584681,0.0112,16.8686,2.100284681,0.0067,16.7587,1.990384681,0.003,15.7626,0.994284681,0.0008,15.0612,0.292884681,0.0
R0026914,288,Carretta,200263,13.19345417,-26.54801944,8988,-88,89,16.336,1.567684681,17.125,2.356684681,,,14.291,-0.477315319,5108.0,2.74,11.54,-1.301,0.051,-1.29,0.644,,0.1,,,,,,,,,,,22.5148,7.746484681,0.0374,,,
R0009389,362,Carretta,986,15.8334875,-70.83209167,8829,-96,96,14.139,-0.590557584,15.227,0.497442416,,,11.443,-3.286557584,4533.0,1.59,10.87,-1.176,,-1.23,0.16,,0.21,0.12,18.5908,3.861242416,0.0061,16.1884,1.458842416,0.005,15.3185,0.588942416,0.0,13.883,-0.846557584,0.0,13.0138,-1.715757584,0.0
R0009402,362,Carretta,995,15.84649583,-70.83193889,8829,-96,96,14.548,-0.181557584,15.446,0.716442416,,,12.013,-2.716557584,4661.0,1.92,10.87,-1.259,,-1.23,0.17,,-0.14,0.04,17.8851,3.155542416,0.0148,15.9097,1.180142416,0.0,15.5031,0.773542416,0.0,14.3515,-0.378057584,0.0,13.5798,-1.149757584,0.0
R0009467,362,Carretta,1037,15.87010833,-70.831375,8829,-96,96,13.696,-1.033557584,14.844,0.114442416,,,10.833,-3.896557584,4395.0,1.33,10.87,-1.174,,-1.23,-0.16,,0.38,0.03,18.5927,3.863142416,0.0024,16.0145,1.284942416,0.0,,,,13.4221,-1.307457584,0.0,12.4928,-2.236757584,0.0
R0010086,362,Carretta,1767,15.81937917,-70.82100556,8829,-96,96,14.354,-0.375557584,15.37,0.640442416,,,11.774,-2.955557584,4608.0,1.74,10.87,-1.138,,-1.23,0.11,,0.21,0.14,18.4638,3.734242416,0.0,16.1633,1.433742416,0.0,15.4733,0.743742416,0.0,14.1167,-0.612857584,0.0,13.2678,-1.461757584,0.0
R0000628,362,Carretta,10921,15.75634583,-70.86811389,8829,-96,96,14.518,-0.211557584,15.432,0.702442416,,,12.015,-2.714557584,4662.0,1.84,10.87,-1.194,,-1.23,-0.34,0.08,0.41,0.05,,,,,,,,,,14.3061,-0.423457584,0.0,13.4827,-1.246857584,0.0
R0000953,362,Carretta,11037,15.7441125,-70.86484444,8829,-96,96,13.253,-1.476557584,14.492,-0.237557584,,,10.14,-4.589557584,4239.0,1.03,10.87,-1.161,,-1.23,-0.04,0.03,0.42,0.03,18.9364,4.206842416,0.0016,16.1213,1.391742416,0.0,,,,12.948,-1.781557584,0.0,11.9522,-2.777357584,0.0
R0007634,362,Carretta,12017,15.72147917,-70.84194167,8829,-96,96,13.014,-1.715557584,14.331,-0.398557584,,,9.721,-5.008557584,4144.0,0.85,10.87,-1.088,,-1.23,0.4,0.03,0.02,0.07,,,,,,,,,,12.6918,-2.037757584,0.0,11.6358,-3.093757584,0.0
R0008483,362,Carretta,12181,15.73315833,-70.83826944,8829,-96,96,13.017,-1.712557584,14.336,-0.393557584,,,9.741,-4.988557584,4149.0,0.86,10.87,-1.148,,-1.23,0.32,0.02,0.02,0.04,,,,,,,,,,12.6824,-2.047157584,0.0,11.6247,-3.104857584,0.0
